anos,agricultura_producao_animal_ caca_floresta_e_pesca,industrias_extractivas,industrias_transformadoras,electridade_gas_vapor,captacao_tratamento_distribuicao_de_ agua,construcao,comercio_por_grosso_e_a_retalho,transportes_e_armazenagem,alojamento_restauracao_e_similares,actividades_de_informacao_e_de_comunicacao,actividades_financeiras_e_de_seguros,actividades_imobiliarias,actividades_de_consultoria_cientificas_tecnicas_e_similares,actividades_administrativas_e_dos_servicos_de_apoio,administracao_publica_e_defesa_e_seguranca_social_obrigatoria,educacao,actividades_de_saude_humana_e _apoio_social,actividades_artisticas_de_espectaculos_desportivas_e_recreativas,outras_actividades_de_servicos,total
1995,1994.5,983.3,1330.6,9900,9907.6,303.1,138,1459.6,31.1,21.2,10.7,5.2,44.6,63.3,134,40.3,101.5,133.2,211,26812.8
1996,2006.4,1104.2,1225.2,7156.2,9344.3,301.8,167.7,1424.4,46,20.5,10.4,5.3,43.1,64.8,109.5,32.2,92,112.9,174,23440.9
1997,2191.7,712.4,1220.1,7431.9,9007.6,285.6,176.6,1403.8,60.9,20,9,5,42.2,65.2,75.6,27.9,88.1,108.4,335.1,23267.1
1998,2167.7,632.6,1179.5,7799.3,8621.6,280,204.1,1380.3,58,23.9,9.8,5.8,41.7,70.5,82.9,19.7,108.5,110.7,216.9,23013.5
1999,2216.5,632,1136.5,10536.1,8336.5,261.2,214.3,1353.2,60.6,24,10.2,5.6,38.8,70.6,82.2,17.4,111.1,96.2,152,25355
2000,2265.5,649.2,1116.4,8987.9,8321.3,268.9,216.2,1393.7,57,24.5,8.8,5.8,34.6,78.1,71.4,15.9,94.4,88.5,172,23870.1
2001,2184.3,633.2,989.7,8750.1,8512.8,242.6,177.6,1551.9,56.5,23.2,7.9,6,38.2,101.6,75.7,19.1,116,104.4,196.1,23786.9
2002,2236.1,649.2,996,9580.7,8049.6,248.7,179.6,1486.5,50.5,19.3,7.6,4.5,31.4,95.3,76,17.1,111.7,103.6,71.4,24014.8
2003,2185.6,728.3,1000.4,6803.1,6928.3,254.8,185.7,1462.1,50.9,20.3,7.7,4.1,31.4,96.1,65,16.7,105.1,91,63.8,20100.4
2004,2205.4,730.8,1038.5,7012.3,6351.5,258.4,189.3,1479.8,48.2,18.8,9.9,3.5,30.2,91.2,63.3,16.1,102.1,85,61.2,19795.5
2005,2286.8,651.3,1022.1,8780.3,5796.2,246.3,191.8,1454.7,42.2,18.5,9.2,3.2,29.7,92,61,14.3,88.1,86.2,57.8,20931.7
2006,2210.3,486.6,973.5,7013.5,5121.9,219.1,153.3,1398.5,37.1,16.5,8.1,2.9,28.8,82.7,56.8,11.3,69.5,73,49.5,18012.9
2007,2374.7,546.1,951.9,5476.8,4866,193.4,138.9,1282.4,38,15.3,7.4,2.4,25.8,76.6,59.4,10.2,64.4,69.1,43.6,16242.4
2008,2327,682.7,916.9,6291.3,4669.9,182.3,128.8,1313.1,44.8,15.3,7.7,2.1,24.7,74.6,49.5,9.3,59.4,62.9,37.7,16900
2009,2356.6,591.4,832.5,5037.2,4503.7,190.8,117.5,1226.9,42.6,14.8,9.7,1.8,25.2,75.7,53.4,10.4,64,64.1,41.7,15260
2010,2316.3,520.9,825.3,3608.8,3855.2,205.3,106.4,1191.5,27.1,14.8,9.8,1.5,26,71.3,51.2,8.9,49.4,54.3,35.5,12979.5
2011,2468.2,526.5,773.6,4446.9,3725.1,210.8,92.3,1190.8,25.6,12.1,11,1.1,24.3,68.5,47.9,8.9,48.5,49,31.5,13762.6
2012,2476.8,442.3,765.8,4472.6,3622.4,196.1,81.2,1192.7,25.4,12.2,12.2,0.9,24.9,69.6,50.7,8.8,44.1,53.9,28.1,13580.7
2013,2262.6,448.2,811.3,3692.4,3640,171.6,74,1124.4,26,12.8,14.4,0.9,24.3,67.5,49.3,9.3,49.7,60.3,28.9,12567.9
2014,2270.1,475.5,773.5,3220.5,3593.4,179.8,79.7,1173.4,33.2,12.9,13.7,0.9,24.3,66.4,55,8.6,49.8,59.7,28.5,12118.9
2015,2171.7,563.6,743.6,3468.3,3494,202.8,77.1,1092.8,34.5,11.7,13.2,0.8,24.7,64.8,54.9,8,49.3,51.1,28.3,12155.2
2016,2130.2,498.7,663.3,3190,3546.3,190.8,74.4,1062,32.5,11.3,11.9,0.8,24.3,60,51.5,8.6,49.1,50,26.9,11682.6
2017,2037.1,473.6,650.2,4503.7,3644.6,192.9,75.8,1015.9,28.1,10.1,10.3,0.8,23.2,56.7,48.3,7.5,43.7,40.3,24.4,12887.2
2018,2013.1,495.4,600,3281.8,3588.6,179,78.7,1003.6,29.7,10.4,6.6,0.8,21.7,54.6,49.9,7.1,40.4,40.2,25.8,11527.4
2019,1902.9,536.3,608.5,2381.2,3428,166.8,79,996.1,25.6,9.7,6.5,0.7,20.2,53.6,47,7.3,37.4,41.4,25.3,10373.5
2020,1987.4,533.7,648.5,1939.5,3219.6,164.9,76.6,833.3,34.3,9,7.2,0.6,19.6,50.8,46.7,7.2,43.1,48.9,26.2,9697.1
